city,country,city_id,date,latitude,longitude,cloudiness,description,temperature,feels_like,temp_min,temp_max,humidity,visbility,windspeed
Nemuro,JP,2128975,1648789984,43.3236,145.575,100,overcast clouds,29.59,20.52,29.59,29.59,77,10000,10.42
Luganville,VU,2136150,1648789984,-15.5333,167.1667,100,heavy intensity rain,83.08,92.17,83.08,83.08,82,10000,2.89
Balkanabat,TM,161616,1648789984,39.5108,54.3671,0,clear sky,60.35,57.69,60.35,60.35,34,10000,2.68
Chokurdakh,RU,2126123,1648789763,70.6333,147.9167,17,few clouds,-7.08,-15.47,-7.08,-7.08,94,10000,3.24
Vaini,TO,4032243,1648789749,-21.2,-175.2,75,broken clouds,80.76,88.61,80.76,80.76,94,10000,4.61
Khatanga,RU,2022572,1648789750,71.9667,102.5,100,overcast clouds,15.03,6.89,15.03,15.03,94,3366,5.21
New Norfolk,AU,2155415,1648789755,-42.7826,147.0587,97,overcast clouds,60.91,59.29,58.5,62.92,55,10000,1.99
Busselton,AU,2075265,1648789749,-33.65,115.3333,28,scattered clouds,79.14,79.14,79.14,79.14,64,10000,9.66
Jamestown,US,5122534,1648789758,42.097,-79.2353,100,overcast clouds,39.38,32.72,36.52,41.02,69,10000,10.36
Sola,VU,2134814,1648789986,-13.8833,167.55,86,moderate rain,81.48,87.55,81.48,81.48,80,5191,18.66
Tasiilaq,GL,3424607,1648789829,65.6145,-37.6368,100,overcast clouds,32.16,27.43,32.16,32.16,97,681,4.83
São João da Barra,BR,3448903,1648789986,-21.6403,-41.0511,38,scattered clouds,73.62,74.91,73.62,73.62,90,10000,10.16
George Town,MY,1735106,1648789987,5.4112,100.3354,40,scattered clouds,89.53,102.0,88.95,89.53,66,9000,9.22
Cabo San Lucas,MX,3985710,1648789987,22.8909,-109.9124,97,overcast clouds,70.5,70.54,65.5,70.52,70,10000,12.66
Neuquén,AR,3843123,1648789988,-38.9516,-68.0591,0,clear sky,48.09,48.09,48.09,48.09,81,10000,0.0
Rikitea,PF,4030556,1648789751,-23.1203,-134.9692,58,broken clouds,77.43,77.83,77.43,77.43,63,10000,15.39
Longyearbyen,SJ,2729907,1648789823,78.2186,15.6401,40,scattered clouds,4.84,-7.76,4.84,4.84,56,10000,20.71
Caldas Novas,BR,3468100,1648789988,-17.7417,-48.625,65,broken clouds,72.28,72.5,72.28,72.28,70,10000,2.24
Lebu,CL,3883457,1648789811,-37.6167,-73.65,99,overcast clouds,53.76,52.88,53.76,53.76,86,10000,19.48
Cabadiangan,PH,1722028,1648789989,9.7531,122.4739,100,overcast clouds,88.48,96.21,88.48,88.48,60,10000,9.98
Cape Town,ZA,3369157,1648789710,-33.9258,18.4232,1,clear sky,60.03,59.25,59.11,61.12,75,10000,7.0
San Blas,MX,3987544,1648789989,21.5167,-105.2667,53,broken clouds,63.88,63.73,63.88,63.88,80,10000,2.95
Ballina,AU,2177069,1648789990,-28.8667,153.5667,33,scattered clouds,77.76,78.28,76.78,80.78,65,10000,13.0
Tuktoyaktuk,CA,6170031,1648789811,69.4541,-133.0374,80,broken clouds,-23.46,-36.06,-23.46,-23.46,100,8527,4.97
Mataura,NZ,6201424,1648789796,-46.1927,168.8643,54,broken clouds,58.68,56.88,58.68,58.68,56,10000,1.05
Katsuura,JP,2112309,1648789876,35.1333,140.3,100,overcast clouds,48.79,42.55,48.79,48.79,53,10000,17.36
Torbay,CA,6167817,1648789536,47.6666,-52.7314,75,broken clouds,32.22,21.09,30.52,34.29,86,10000,17.27
Tyulyachi,RU,479850,1648789992,55.8913,50.2399,100,overcast clouds,28.09,18.12,28.09,28.09,93,10000,11.48
Qeshm,IR,119374,1648789992,26.9581,56.2719,26,scattered clouds,82.27,85.64,78.69,82.27,64,10000,3.02
Pangody,RU,1495626,1648789993,65.85,74.4859,100,overcast clouds,15.1,2.5,15.1,15.1,88,10000,16.37
Northam,GB,2641434,1648789993,51.0333,-4.2167,26,scattered clouds,37.65,29.28,33.26,39.61,69,10000,13.65
